id,ime,ocena,zaloga,cena
2853101,LEGO Gift Card,null,true,1499
30464,El Fuego's Stunt Cannon,4.3333,true,349
30556,DOTS Mini Frame,null,true,349
31058,Mighty Dinosaurs,4.6296,true,1299
31088,Deep Sea Creatures,4.9706,true,1299
31093,Riverside Houseboat,4.5,true,2499
31100,Sports Car,4.1429,false,899
31108,Caravan Family Holiday,4.4783,false,6999
31109,Pirate Ship,4.7167,true,11499
31111,Cyber Drone,5,true,899
31112,Wild Lion,4.75,true,1299
31113,Race Car Transporter,4.9048,false,2199
31114,Superbike,5,true,1799
31115,Space Mining Mech,4.8333,false,2199
31116,Safari Wildlife Tree House,3.8,true,2499
31117,Space Shuttle Adventure,4.9259,false,4499
31118,Surfer Beach House,4.6923,true,4499
31119,Ferris Wheel,4.8103,false,7999
31120,Medieval Castle,4.697,true,8999
31121,Crocodile,4.625,false,2499
31122,Fish Tank,4.7105,true,2499
31123,Off-road Buggy,4.9375,true,1299
31124,Super Robot,4.9048,true,899
31125,Fantasy Forest Creatures,4.95,true,1299
31126,Supersonic Jet,5,true,1799
31127,Street Racer,4.9412,true,1799
31128,Dolphin and Turtle,4.7222,true,899
31129,Majestic Tiger,4.8485,true,4499
31130,Sunken Treasure Mission,4,true,2499
31131,Downtown Noodle Shop,5,true,3999
31132,Viking Ship and the Midgard Serpent,4.3333,true,10499
31201,Harry Potter™ Hogwarts™ Crests,4.2245,true,10499
31202,Disney's Mickey Mouse,4.5676,true,10499
31203,World Map,4.3043,true,21499
31204,Elvis Presley “The King”,5,true,10499
31205,Jim Lee Batman™ Collection,4.7857,true,10499
31206,The Rolling Stones,2.8846,true,12999
31207,Floral Art,3.75,true,5999
40174,LEGO® Iconic Chess Set,4.4717,true,5499
40179,Mosaic Maker,3.7778,true,9999
40348,Birthday Clown,4.7143,true,999
40366,LEGO® House Dinosaurs,null,true,7499
40367,Lady Liberty,4.8667,true,999
40373,Fairground MF Acc. Set,5,true,1199
40375,Sports Accessories,3.6,true,399
40377,Donald Duck,4.6154,true,999
40378,Goofy \u0026 Pluto,4.5714,true,1349
40382,Birthday Set,4.9231,true,1199
40383,Wedding Bride,4.3636,false,719
40384,Wedding Groom,5,true,719
40385,Trophy,4.3333,true,1199
40386,Batman™,4.2857,true,899
40391,First Order Stormtrooper™,4.4286,true,899
40420,"Gru, Stuart and Otto",4.5,true,1799
40421,"Belle Bottom, Kevin and Bob",5,true,1079
40426,Christmas Wreath 2-in-1,4.431,true,3499
40428,The Joker™,4.8,true,899
40431,Brick Sketches™ BB-8™,4.6,true,899
40440,German Shepherd,4.5833,false,809
40441,Shorthair Cats,4.9375,false,1349
40442,Goldfish,4.625,true,1349
40443,Budgie,4.5333,true,1349
40454,Spider-Man versus Venom and Iron Venom,4.7,false,1349
40456,Mickey Mouse,4.9,true,1499
40457,Minnie Mouse,4.8333,true,1499
40460,Roses,4.8171,true,1199
40461,Tulips,4.48,true,899
40462,Valentine's Brown Bear,4.8947,true,1349
40463,Easter Bunny,4.6,true,1349
40466,Chinese New Year Pandas,4.7333,true,1799
40468,Yellow Taxi,3.9167,true,899
40469,Tuk Tuk,4.5405,true,899
40472,Monkie Kid's RC Race,4.6667,true,1199
40476,Daisy Duck,4.75,true,999
40477,"Scrooge McDuck, Huey, Dewey \u0026 Louie",4.75,true,2199
40479,Dalmatian,4.75,false,809
40480,Ginger Tabby,5,false,1349
40481,Cockatiel,5,false,809
40495,"Harry, Hermione, Ron \u0026 Hagrid™",4.8667,true,2199
40496,"Voldemort™, Nagini \u0026 Bellatrix",5,true,2199
40497,Halloween Owl,4.4444,true,1349
40498,Christmas Penguin,4.5882,true,1349
40511,Minions Kung Fu Training​,5,true,1349
40516,Everyone Is Awesome,4.5517,true,3099
40517,Vespa,4.8824,true,899
40518,High-Speed Train,3.8462,true,1799
40519,New York Postcard,4.7333,false,1349
40521,Mini Disney The Haunted Mansion,4.3333,true,3499
40522,Valentine Lovebirds,5,true,1199
40523,Easter Rabbits Display,4.9091,false,1199
40524,Sunflowers,4.4769,true,1199
40525,Endgame Battle,5,true,1349
40526,Electric Scooters \u0026 Charging Dock,4.75,true,1199
40535,Iron Man,4.6667,true,1499
40536,Miles Morales,5,true,1499
40539,Ahsoka Tano™,4.9394,true,999
40540,Lion Dance Guy,4.8125,true,999
40541,Manchester United Go Brick Me,null,true,1799
40542,FC Barcelona Go Brick Me,null,true,1799
40544,Pets - French Bulldog,5,true,1349
40545,Koi Fish,5,true,1349
40546,Poodle,5,true,1349
40547,Obi-Wan Kenobi™ \u0026 Darth Vader™,4.1111,true,1799
40548,Spice Girls Tribute,4.8261,true,4499
40549,Demogorgon \u0026 Eleven,4.5,false,1799
40550,Chip \u0026 Dale,4.5556,true,1799
40552,Buzz Lightyear,4.75,true,999
40553,Woody and Bo Peep,4.8571,true,1799
40554,Jake Sully \u0026 his Avatar,null,true,1799
40557,Defence of Hoth™,4.5,true,1349
40558,Clone Trooper™ Command Station,3.963,true,1349
40559,Road Runner™ \u0026 Wile E. Coyote™,4.7778,true,1799
40560,Professors of Hogwarts™,5,true,3999
40568,Paris Postcard,4.25,false,1349
40569,London Postcard,5,false,1349
40570,Halloween Cat \u0026 Mouse,4.8125,false,1199
40571,Wintertime Polar Bears,5,true,1199
40572,Penguin \u0026 Snowflake,4,true,899
40648,Money Tree,null,false,2199
40654,Beijing Postcard,3.75,true,1349
41166,Elsa's Wagon Adventure,3.5,true,2499
41168,Elsa's Jewelry Box Creation,4.8333,true,3499
41390,Andrea's Car \u0026 Stage,4.5,false,1799
41393,Baking Competition,5,true,3499
41395,Friendship Bus,5,true,5999
41439,Cat Grooming Car,5,true,899
41441,Horse Training and Trailer,4.8696,false,2499
41443,Olivia's Electric Car,4.9333,true,1299
41444,Heartlake City Organic Café,4.8605,true,2499
41448,Heartlake City Movie Theater,4.7143,true,4499
41449,Andrea's Family House,4.9063,false,5999
41450,Heartlake City Shopping Mall,4.4545,false,8999
41669,Mia's Soccer Cube,null,false,899
41677,Forest Waterfall,5,true,899
41679,Forest House,4.9535,true,2499
41681,Forest Camper Van and Sailboat,4.7778,true,4499
41682,Heartlake City School,5,true,5999
41683,Forest Horseback Riding Center,4.88,true,5999
41684,Heartlake City Grand Hotel,4.9286,true,8999
